2022-01-08 16:21:08.5200000 [client] INFO Searching for server executables haskell-language-server-wrapper,haskell-language-server in $PATH
2022-01-08 16:21:08.5200000 [client] INFO $PATH environment variable: /home/vvcaw/.emacs.d/bin:/home/vvcaw/.cargo/bin:/usr/local/sbin:/usr/local/bin:/usr/bin:/usr/bin/site_perl:/usr/bin/vendor_perl:/usr/bin/core_perl
2022-01-08 16:21:08.5230000 [client] INFO Found server executable in $PATH: haskell-language-server-wrapper
2022-01-08 16:21:08.5240000 [client] INFO Activating the language server in working dir: /home/vvcaw/dev/BWINF/Aufgabe2 (the workspace folder)
2022-01-08 16:21:08.5240000 [client] INFO run command: haskell-language-server-wrapper --lsp
2022-01-08 16:21:08.5240000 [client] INFO debug command: haskell-language-server-wrapper --lsp
2022-01-08 16:21:08.5240000 [client] INFO server environment variables:
2022-01-08 16:21:08.5260000 [client] INFO Starting language server
No 'hie.yaml' found. Try to discover the project type!
Run entered for haskell-language-server-wrapper(haskell-language-server-wrapper) Version 1.3.0.0 x86_64 ghc-9.0.1
Current directory: /home/vvcaw/dev/BWINF/Aufgabe2
Operating system: linux
Arguments: ["--lsp"]
Cradle directory: /home/vvcaw/dev/BWINF/Aufgabe2
Cradle type: Default

Tool versions found on the $PATH
cabal:		Not found
stack:		2.7.3
ghc:		9.0.1


Consulting the cradle to get project GHC version...
Project GHC version: 9.0.1
haskell-language-server exe candidates: ["haskell-language-server-9.0.1","haskell-language-server"]
Launching haskell-language-server exe at:/usr/bin/haskell-language-server
haskell-language-server version: 1.3.0.0 (GHC: 9.0.1) (PATH: /usr/bin/haskell-language-server)
Starting (haskell-language-server)LSP server...
  with arguments: GhcideArguments {argsCommand = LSP, argsCwd = Nothing, argsShakeProfiling = Nothing, argsTesting = False, argsExamplePlugin = False, argsDebugOn = False, argsLogFile = Nothing, argsThreads = 0, argsProjectGhcVersion = False}
  with plugins: [PluginId "pragmas",PluginId "floskell",PluginId "fourmolu",PluginId "ormolu",PluginId "stylish-haskell",PluginId "retrie",PluginId "callHierarchy",PluginId "haddockComments",PluginId "eval",PluginId "importLens",PluginId "moduleName",PluginId "hlint",PluginId "ghcide-hover-and-symbols",PluginId "ghcide-code-actions-imports-exports",PluginId "ghcide-code-actions-type-signatures",PluginId "ghcide-code-actions-bindings",PluginId "ghcide-code-actions-fill-holes",PluginId "ghcide-completions",PluginId "ghcide-type-lenses",PluginId "ghcide-core"]
  in directory: /home/vvcaw/dev/BWINF/Aufgabe2
 Starting LSP server...
If you are seeing this in a terminal, you probably should have run WITHOUT the --lsp option!
Started LSP server in 0.05s
setInitialDynFlags cradle: Cradle {cradleRootDir = "/home/vvcaw/dev/BWINF/Aufgabe2", cradleOptsProg = CradleAction: Default}
Currently, HLS supports GHC 9 only partially. See [issue #297](https://github.com/haskell/haskell-language-server/issues/297) for more detail.
2022-01-08 17:21:10.397555823 [ThreadId 5] INFO hls:	Registering ide configuration: IdeConfiguration {workspaceFolders = fromList [NormalizedUri (-3688132169937626545) "file:///home/vvcaw/dev/BWINF/Aufgabe2"], clientSettings = hashed Nothing}
2022-01-08 17:21:10.42475606 [ThreadId 70] INFO hls:	Consulting the cradle for "Main.hs"
2022-01-08 17:21:10.424860975 [ThreadId 70] WARNING hls:	No [cradle](https://github.com/mpickering/hie-bios#hie-bios) found for Main.hs.
 Proceeding with [implicit cradle](https://hackage.haskell.org/package/implicit-hie).
You should ignore this message, unless you see a 'Multi Cradle: No prefixes matched' error.
Output from setting up the cradle Cradle {cradleRootDir = "/home/vvcaw/dev/BWINF/Aufgabe2", cradleOptsProg = CradleAction: Default}
2022-01-08 17:21:10.529996952 [ThreadId 70] INFO hls:	Using interface files cache dir: /home/vvcaw/.cache/ghcide/main-1a596a151463f2c53ee4feb14ecd276a1ccebfda
2022-01-08 17:21:10.530199042 [ThreadId 70] INFO hls:	Making new HscEnv[main]
2022-01-08 17:21:10.550376927 [ThreadId 153] INFO hls:	finish: Pragmas.GetParsedModule (took 0.00s)
2022-01-08 17:21:10.550472545 [ThreadId 153] INFO hls:	finish: HaddockComments.GetAnnotatedParsedSource (took 0.00s)
2022-01-08 17:21:10.550532723 [ThreadId 153] INFO hls:	finish: importLens (took 0.00s)
2022-01-08 17:21:10.55057704 [ThreadId 153] INFO hls:	finish: Pragmas.GetParsedModule (took 0.00s)
2022-01-08 17:21:10.550599189 [ThreadId 149] INFO hls:	finish: HaddockComments.GetAnnotatedParsedSource (took 0.00s)
2022-01-08 17:21:10.550624287 [ThreadId 153] INFO hls:	finish: importLens (took 0.00s)
2022-01-08 17:21:10.550686986 [ThreadId 149] INFO hls:	finish: Outline (took 0.00s)
2022-01-08 17:21:10.550388634 [ThreadId 150] INFO hls:	finish: GhcideCodeActions.getParsedModule (took 0.00s)
2022-01-08 17:21:10.550354123 [ThreadId 139] INFO hls:	finish: GhcideCodeActions.getParsedModule (took 0.00s)
2022-01-08 17:21:10.551081202 [ThreadId 154] INFO hls:	finish: Pragmas.GetFileContents (took 0.00s)
2022-01-08 17:21:10.551124911 [ThreadId 119] INFO hls:	finish: Pragmas.GetFileContents (took 0.00s)
2022-01-08 17:21:10.587697342 [ThreadId 176] INFO hls:	finish: retrie (took 0.04s)
2022-01-08 17:21:10.588964786 [ThreadId 175] INFO hls:	finish: retrie (took 0.04s)
2022-01-08 17:21:10.664552151 [ThreadId 195] INFO hls:	finish: ModuleName.ghcSession (took 0.00s)
2022-01-08 17:21:10.664486602 [ThreadId 191] INFO hls:	finish: codeLens.TypeCheck (took 0.00s)
2022-01-08 17:21:10.664941518 [ThreadId 198] INFO hls:	finish: ModuleName.GetParsedModule (took 0.00s)
2022-01-08 17:21:10.664971056 [ThreadId 200] INFO hls:	finish: eval.GetParsedModuleWithComments (took 0.00s)
2022-01-08 17:21:10.664986854 [ThreadId 197] INFO hls:	finish:  (took 0.00s)
2022-01-08 17:21:10.665358407 [ThreadId 203] INFO hls:	finish: codeLens.GetBindings (took 0.00s)
2022-01-08 17:21:10.665540663 [ThreadId 208] INFO hls:	finish: codeLens.GetGlobalBindingTypeSigs (took 0.00s)
